,volume,vwap,open,close,high,low,datetime,trades
732,523414.742764,679.7018,679.68,679.66,679.77,679.63,2026-03-03 16:12:00-05:00,168
733,13226.724954,679.6627,679.57,679.69,679.76,679.51,2026-03-03 16:13:00-05:00,135
734,20644.661072,679.7708,679.68,679.81,679.84,679.67,2026-03-03 16:14:00-05:00,244
735,20715.905332,679.7251,679.72,679.7,679.77,679.68,2026-03-03 16:15:00-05:00,162
736,745487.39728,680.2045,679.67,679.75,679.77,679.6,2026-03-03 16:16:00-05:00,149
737,11573.794098,679.852,679.78,679.9161,679.93,679.76,2026-03-03 16:17:00-05:00,90
738,91362.418517,679.6402,679.89,679.71,679.89,679.5,2026-03-03 16:18:00-05:00,562
739,17073.453911,679.7396,679.7102,679.81,679.81,679.71,2026-03-03 16:19:00-05:00,104
740,16685.479371,679.801,679.8,679.74,679.85,679.74,2026-03-03 16:20:00-05:00,128
741,7704.351291,679.8391,679.83,679.83,679.86,679.79,2026-03-03 16:21:00-05:00,74
742,4513.386584,679.7419,679.76,679.76,679.76,679.72,2026-03-03 16:22:00-05:00,59
743,408.442633,679.7334,679.79,679.74,679.79,679.72,2026-03-03 16:23:00-05:00,24
744,1575.637571,679.7299,679.7065,679.74,679.74,679.7065,2026-03-03 16:24:00-05:00,48
745,5215.653581,679.5689,679.7,679.55,679.7,679.55,2026-03-03 16:25:00-05:00,111
746,19938.260684,679.5053,679.56,679.45,679.62,679.44,2026-03-03 16:26:00-05:00,231
747,70453.171623,679.4105,679.45,679.395,679.8,679.27,2026-03-03 16:27:00-05:00,549
748,9449.415915,679.3556,679.37,679.33,679.375,679.3,2026-03-03 16:28:00-05:00,79
749,3553.750881,679.3423,679.31,679.35,679.38,679.31,2026-03-03 16:29:00-05:00,48
750,2682.140134,679.307,679.41,679.25,679.42,679.23,2026-03-03 16:30:00-05:00,69
751,15314.21596,679.1642,679.25,679.21,679.25,679.02,2026-03-03 16:31:00-05:00,168
752,17893.779947,679.0451,679.18,678.8403,679.21,678.73,2026-03-03 16:32:00-05:00,285
753,29124.506353,678.8597,678.82,678.71,678.9394,678.71,2026-03-03 16:33:00-05:00,194
754,23659.533871,678.8028,678.81,678.8,678.9,678.71,2026-03-03 16:34:00-05:00,209
755,40478.746578,678.8036,678.8,678.87,678.98,678.73,2026-03-03 16:35:00-05:00,352
756,11603.943029,678.8259,678.8901,678.76,678.96,678.7,2026-03-03 16:36:00-05:00,105
757,2671.781485,678.906,678.75,678.91,678.95,678.75,2026-03-03 16:37:00-05:00,53
758,5337.726394,678.992,678.9,679.02,679.05,678.9,2026-03-03 16:38:00-05:00,128
759,67464.19511,679.0299,678.99,678.99,679.11,678.97,2026-03-03 16:39:00-05:00,413
760,2965.543598,679.1505,678.99,679.2,679.2,678.98,2026-03-03 16:40:00-05:00,62
761,3736.966354,679.2108,679.2,679.25,679.25,679.2,2026-03-03 16:41:00-05:00,40
762,16572.390329,679.2729,679.2326,679.37,679.37,679.2326,2026-03-03 16:42:00-05:00,96
763,9040.30366,679.4275,679.38,679.38,679.46,679.36,2026-03-03 16:43:00-05:00,85
764,6037.905502,679.2469,679.36,679.25,679.36,679.2,2026-03-03 16:44:00-05:00,86
765,34698.667492,679.1664,679.23,679.14,679.23,679.075,2026-03-03 16:45:00-05:00,229
766,5519.805942,679.1594,679.15,679.16,679.22,679.1,2026-03-03 16:46:00-05:00,59
767,1173.108458,679.1638,679.22,679.1001,679.22,679.06,2026-03-03 16:47:00-05:00,36
768,6423.28321,679.1047,679.1,679.2,679.2,679.09,2026-03-03 16:48:00-05:00,49
769,4709.31036,679.2113,679.24,679.15,679.27,679.15,2026-03-03 16:49:00-05:00,68
770,7199.056301,679.1235,679.13,679.24,679.24,679.12,2026-03-03 16:50:00-05:00,26
771,1886.064995,679.3069,679.28,679.26,679.34,679.26,2026-03-03 16:51:00-05:00,40
772,3289.534856,679.2165,679.28,679.17,679.28,679.13,2026-03-03 16:52:00-05:00,50
773,1762.435921,679.2158,679.17,679.3099,679.3099,679.17,2026-03-03 16:53:00-05:00,31
774,774.84679,679.1514,679.25,679.1,679.25,679.1,2026-03-03 16:54:00-05:00,47
775,1052.526772,679.0906,679.052,679.15,679.15,679.052,2026-03-03 16:55:00-05:00,28
776,15990.187588,679.0798,679.17,679.11,679.17,679.05,2026-03-03 16:56:00-05:00,85
777,6482.747211,679.0252,679.05,679.01,679.07,679.0,2026-03-03 16:57:00-05:00,69
778,25796.13477,678.9679,679.01,679.0,679.01,678.94,2026-03-03 16:58:00-05:00,83
779,3238.972567,678.929,678.9903,679.04,679.04,678.9903,2026-03-03 16:59:00-05:00,38
780,346.716424,679.022,679.05,679.05,679.05,679.05,2026-03-03 17:00:00-05:00,26
781,663.26082,678.9838,679.06,678.94,679.06,678.94,2026-03-03 17:01:00-05:00,19
782,579.244222,679.0579,678.9753,679.07,679.07,678.9753,2026-03-03 17:02:00-05:00,10
783,789.147248,679.0669,679.06,679.07,679.07,679.06,2026-03-03 17:04:00-05:00,23
784,292.054145,679.0414,679.07,679.06,679.07,679.06,2026-03-03 17:05:00-05:00,20
785,617.040479,679.0085,678.98,679.06,679.06,678.98,2026-03-03 17:06:00-05:00,30
786,671.398375,678.7402,679.14,679.1,679.14,679.1,2026-03-03 17:08:00-05:00,29
787,6066.204187,679.1887,679.14,679.2,679.2,679.14,2026-03-03 17:09:00-05:00,49
788,503.339062,679.1814,679.18,679.18,679.18,679.18,2026-03-03 17:10:00-05:00,21
789,4493.905407,679.2379,679.2,679.27,679.27,679.1701,2026-03-03 17:11:00-05:00,56
790,934.95992,679.2462,679.25,679.25,679.2501,679.25,2026-03-03 17:12:00-05:00,42
791,618.514722,679.1938,679.2595,679.18,679.2595,679.18,2026-03-03 17:13:00-05:00,9
792,3231.163419,679.2338,679.25,679.2599,679.2599,679.23,2026-03-03 17:14:00-05:00,13
793,110.618164,679.2195,679.22,679.22,679.22,679.22,2026-03-03 17:15:00-05:00,14
794,557.324322,679.2063,679.22,679.2,679.22,679.2,2026-03-03 17:16:00-05:00,17
795,910.176492,679.2303,679.23,679.23,679.23,679.23,2026-03-03 17:17:00-05:00,30
796,592.472725,679.2389,679.23,679.25,679.25,679.23,2026-03-03 17:18:00-05:00,21
797,925.692389,679.2498,679.25,679.25,679.25,679.25,2026-03-03 17:19:00-05:00,21
798,302.080663,679.2677,679.27,679.27,679.27,679.27,2026-03-03 17:20:00-05:00,16
799,2089.375389,679.2599,679.25,679.26,679.2696,679.25,2026-03-03 17:21:00-05:00,14
800,157.142944,679.2678,679.27,679.27,679.27,679.27,2026-03-03 17:22:00-05:00,10
801,11155.396886,679.2506,679.26,679.24,679.27,679.24,2026-03-03 17:23:00-05:00,37
802,1688.137311,679.2191,679.23,679.2,679.23,679.19,2026-03-03 17:24:00-05:00,31
803,551.046187,679.1742,679.19,679.2,679.2,679.14,2026-03-03 17:25:00-05:00,20
804,17260.1375,679.0255,679.2,679.0,679.2,679.0,2026-03-03 17:26:00-05:00,145
805,5916.130354,678.9999,678.9999,679.0,679.0,678.9999,2026-03-03 17:27:00-05:00,36
806,60197.142137,680.1462,678.99,679.0,680.33,678.99,2026-03-03 17:28:00-05:00,44
807,2224.702928,678.9966,679.0,679.0,679.0,678.99,2026-03-03 17:29:00-05:00,31
808,1048.439184,679.0234,679.0,679.0,679.04,679.0,2026-03-03 17:30:00-05:00,17
809,349.239375,678.9759,678.99,678.99,678.99,678.98,2026-03-03 17:31:00-05:00,29
810,193.061394,678.9694,678.98,678.96,678.98,678.96,2026-03-03 17:33:00-05:00,17
811,1126.266104,678.9519,678.96,678.9204,678.96,678.91,2026-03-03 17:34:00-05:00,22
812,406.756681,678.9831,678.99,678.98,678.99,678.98,2026-03-03 17:35:00-05:00,27
813,390.539923,678.9855,678.9864,678.9864,678.9864,678.9864,2026-03-03 17:36:00-05:00,14
814,258.570199,678.9857,678.97,679.0,679.0,678.97,2026-03-03 17:37:00-05:00,27
815,11219.077451,678.9995,679.0,678.97,679.0,678.97,2026-03-03 17:38:00-05:00,32
816,12384.950469,678.9998,678.9994,679.0,679.0,678.99,2026-03-03 17:39:00-05:00,41
