,volume,vwap,open,close,high,low,datetime,trades
658,90050.874028,688.2245,688.29,688.195,688.31,688.14,2026-03-02 14:59:00-05:00,1389
659,90815.349319,688.1821,688.19,688.005,688.33,688.005,2026-03-02 15:00:00-05:00,1616
660,142190.294722,687.9918,688.01,687.935,688.06,687.91,2026-03-02 15:01:00-05:00,2359
661,113135.584889,687.9566,687.94,687.97,688.01,687.875,2026-03-02 15:02:00-05:00,1680
662,102735.136173,688.028,687.98,688.03,688.12,687.92,2026-03-02 15:03:00-05:00,1584
663,122633.816536,687.9866,688.025,688.025,688.05,687.91,2026-03-02 15:04:00-05:00,1703
664,104144.323767,688.0763,688.04,688.065,688.16,687.985,2026-03-02 15:05:00-05:00,1791
665,851806.664279,687.6254,688.07,687.43,688.12,687.06,2026-03-02 15:06:00-05:00,10091
666,420292.14586,687.1931,687.42,686.81,687.475,686.7901,2026-03-02 15:07:00-05:00,6181
667,586088.556459,686.3801,686.79,686.18,686.81,686.09,2026-03-02 15:08:00-05:00,6947
668,596994.772978,686.1489,686.18,686.188,686.43,685.96,2026-03-02 15:09:00-05:00,7537
669,545519.325093,685.7228,686.19,685.61,686.22,685.41,2026-03-02 15:10:00-05:00,7720
670,477761.295295,685.5135,685.61,685.93,685.96,685.205,2026-03-02 15:11:00-05:00,6290
671,737201.597739,685.9771,685.94,685.71,685.94,685.35,2026-03-02 15:12:00-05:00,6174
672,291856.23681,685.6892,685.74,685.6695,685.97,685.45,2026-03-02 15:13:00-05:00,4261
673,520464.442872,685.4269,685.67,685.26,685.84,685.12,2026-03-02 15:14:00-05:00,6983
674,435033.855808,685.1046,685.26,685.24,685.38,684.89,2026-03-02 15:15:00-05:00,5880
675,795163.16074,686.0795,685.27,686.0,686.43,685.27,2026-03-02 15:16:00-05:00,10164
676,297786.617134,686.3206,686.03,686.23,686.54,685.93,2026-03-02 15:17:00-05:00,3971
677,333284.174981,686.3387,686.25,686.46,686.58,686.1,2026-03-02 15:18:00-05:00,3035
678,254850.357517,686.2049,686.48,686.04,686.57,685.93,2026-03-02 15:19:00-05:00,3044
679,444238.159551,685.847,686.07,686.12,686.3,685.4405,2026-03-02 15:20:00-05:00,6214
680,174922.847218,685.7939,686.1,685.7,686.17,685.68,2026-03-02 15:21:00-05:00,2788
681,236509.542188,685.9564,685.72,685.84,686.14,685.72,2026-03-02 15:22:00-05:00,3469
682,161768.130493,685.8212,685.85,686.0,686.04,685.63,2026-03-02 15:23:00-05:00,2496
683,111163.236709,685.8804,686.0,685.63,686.11,685.61,2026-03-02 15:24:00-05:00,1888
684,270857.062352,685.6433,685.63,685.7137,685.85,685.46,2026-03-02 15:25:00-05:00,3806
685,171684.334936,685.5935,685.7099,685.39,685.77,685.3,2026-03-02 15:26:00-05:00,2429
686,188379.820269,685.3821,685.41,685.405,685.56,685.24,2026-03-02 15:27:00-05:00,2369
687,300898.57221,685.676,685.44,685.71,686.05,685.39,2026-03-02 15:28:00-05:00,3600
688,138602.159933,685.5325,685.69,685.35,685.81,685.31,2026-03-02 15:29:00-05:00,2140
689,231351.201263,685.5511,685.35,685.54,685.81,685.3,2026-03-02 15:30:00-05:00,3066
690,144921.391681,685.4364,685.55,685.42,685.69,685.2,2026-03-02 15:31:00-05:00,2284
691,140097.261517,685.6386,685.43,685.84,685.95,685.3404,2026-03-02 15:32:00-05:00,2134
692,107054.644062,685.7383,685.83,685.805,685.85,685.575,2026-03-02 15:33:00-05:00,1904
693,130499.722688,685.9739,685.82,686.02,686.09,685.78,2026-03-02 15:34:00-05:00,1936
694,103855.26947,685.8488,686.02,685.69,686.0553,685.67,2026-03-02 15:35:00-05:00,2004
695,141967.055705,685.7714,685.7,685.77,685.92,685.62,2026-03-02 15:36:00-05:00,2047
696,220635.237772,686.0763,685.77,686.01,686.31,685.77,2026-03-02 15:37:00-05:00,3055
697,176604.684227,686.2193,686.02,686.38,686.41,685.97,2026-03-02 15:38:00-05:00,2389
698,223913.109256,686.1465,686.38,686.09,686.4097,685.92,2026-03-02 15:39:00-05:00,3125
699,156360.833133,686.0982,686.09,685.95,686.295,685.91,2026-03-02 15:40:00-05:00,2550
700,123377.826277,685.8682,685.96,685.65,686.0,685.63,2026-03-02 15:41:00-05:00,2159
701,170015.882131,685.7566,685.68,685.98,686.03,685.56,2026-03-02 15:42:00-05:00,2478
702,114582.029539,685.878,685.97,685.91,685.99,685.77,2026-03-02 15:43:00-05:00,2217
703,195805.130505,686.071,685.91,686.23,686.27,685.83,2026-03-02 15:44:00-05:00,2990
704,276653.861455,686.1203,686.22,686.28,686.31,685.965,2026-03-02 15:45:00-05:00,4020
705,395776.55099,686.4733,686.29,686.34,686.68,686.29,2026-03-02 15:46:00-05:00,5120
706,199495.471482,686.409,686.36,686.3731,686.54,686.29,2026-03-02 15:47:00-05:00,2195
707,216732.346388,686.4495,686.3799,686.32,686.62,686.29,2026-03-02 15:48:00-05:00,3248
708,236217.50146,686.3558,686.31,686.33,686.49,686.23,2026-03-02 15:49:00-05:00,3236
709,552619.630359,686.5101,686.34,686.37,686.71,686.12,2026-03-02 15:50:00-05:00,6894
710,310631.549334,686.2671,686.36,686.39,686.56,685.98,2026-03-02 15:51:00-05:00,4137
711,252596.417241,686.4292,686.37,686.46,686.5,686.3308,2026-03-02 15:52:00-05:00,3566
712,345472.039902,686.3439,686.47,686.285,686.54,686.18,2026-03-02 15:53:00-05:00,4883
713,491054.489016,686.5522,686.28,686.74,686.76,686.22,2026-03-02 15:54:00-05:00,5290
714,773696.580159,686.8403,686.76,687.01,687.11,686.58,2026-03-02 15:55:00-05:00,8585
715,501969.343314,686.7495,687.015,686.89,687.12,686.6501,2026-03-02 15:56:00-05:00,5483
716,454238.184171,687.0794,686.89,687.1199,687.31,686.8,2026-03-02 15:57:00-05:00,5828
717,782717.008034,687.1062,687.11,686.965,687.22,686.93,2026-03-02 15:58:00-05:00,8215
718,4520399.777503,686.524,686.97,686.37,686.98,686.325,2026-03-02 15:59:00-05:00,21482
719,465096.554416,686.3548,686.36,686.2496,686.45,686.18,2026-03-02 16:00:00-05:00,1146
720,435773.798225,686.2714,686.22,686.2,686.28,685.96,2026-03-02 16:01:00-05:00,949
721,36507.700255,686.2641,686.2,686.35,686.37,686.09,2026-03-02 16:02:00-05:00,226
722,60719.198682,686.2796,686.32,686.2,686.34,686.15,2026-03-02 16:03:00-05:00,517
723,21664.179294,686.1406,686.17,686.17,686.21,686.05,2026-03-02 16:04:00-05:00,254
724,37568.208569,686.084,686.16,686.13,686.17,685.95,2026-03-02 16:05:00-05:00,328
725,608225.28373,686.5035,686.16,686.02,686.6667,686.0008,2026-03-02 16:06:00-05:00,411
726,52645.167799,685.9489,686.06,685.86,686.13,685.84,2026-03-02 16:07:00-05:00,384
727,43509.74655,685.8683,685.84,685.8,685.97,685.8,2026-03-02 16:08:00-05:00,334
